Sl No,Category,Item Code,Item Name,Quantity,Department,Address,Contact Name,Phone,Latitude,Longitude,District
26,Tactical,334,Helmet,40 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
27,Tactical,332,Crow Bar,17 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
28,Tactical,330,Shovel,11 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
29,Tactical,117,Sledge Hammer,4 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
30,Tactical,115,Jack With 5 Ton Lift,3 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
31,Tactical,107,Chain Saw Diamond,3 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
32,Tactical,103,Bolt Cutters ( Shears ),4 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
33,Tactical,389,Gum Boots,6 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
34,Tactical,369,Hand Gloves,20 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
47,Tactical,159,Inflatable Boat (12 Persons),1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
48,Tactical,156,Life Jackets,8 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
49,Tactical,155,Lifebuoy,12 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
50,Tactical,360,Hose/Hose Fitting,171 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
51,Tactical,357,Rope,11 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
52,Tactical,356,B.A.Set,5 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
53,Tactical,336,Pick Axe,4 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
54,Tactical,334,Helmet,35 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
55,Tactical,332,Crow Bar,3 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
56,Tactical,330,Shovel,2 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
57,Tactical,117,Sledge Hammer,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
58,Tactical,115,Jack With 5 Ton Lift,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
59,Tactical,107,Chain Saw Diamond,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
60,Tactical,103,Bolt Cutters ( Shears ),15 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
61,Tactical,389,Gum Boots,33 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
62,Tactical,369,Hand Gloves,10 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
72,Tactical,159,Inflatable Boat (12 Persons),1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
73,Tactical,156,Life Jackets,6 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
74,Tactical,155,Lifebuoy,6 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
75,Tactical,140,Search Light,2 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
76,Tactical,360,Hose/Hose Fitting,59 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
77,Tactical,357,Rope,7 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
78,Tactical,356,B.A.Set,31 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
79,Tactical,341,Ceiling Hook,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
80,Tactical,338,Door Breaker,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
81,Tactical,337,Axe,7 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
82,Tactical,336,Pick Axe,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
83,Tactical,334,Helmet,33 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
84,Tactical,332,Crow Bar,2 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
85,Tactical,330,Shovel,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
86,Tactical,117,Sledge Hammer,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
87,Tactical,115,Jack With 5 Ton Lift,2 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
88,Tactical,107,Chain Saw Diamond,2 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
89,Tactical,103,Bolt Cutters ( Shears ),6 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
90,Tactical,389,Gum Boots,34 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
91,Tactical,369,Hand Gloves,26 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
106,Tactical,159,Inflatable Boat (12 Persons),1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
107,Tactical,156,Life Jackets,22 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
108,Tactical,155,Lifebuoy,14 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
109,Tactical,360,Hose/Hose Fitting,209 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
110,Tactical,357,Rope,8 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
111,Tactical,356,B.A.Set,5 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
112,Tactical,336,Pick Axe,4 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
113,Tactical,334,Helmet,34 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
114,Tactical,332,Crow Bar,3 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
115,Tactical,330,Shovel,2 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
116,Tactical,117,Sledge Hammer,4 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
117,Tactical,115,Jack With 5 Ton Lift,2 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
118,Tactical,107,Chain Saw Diamond,1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
119,Tactical,103,Bolt Cutters ( Shears ),3 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
120,Tactical,389,Gum Boots,38 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
121,Tactical,369,Hand Gloves,20 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
133,Tactical,159,Inflatable Boat (12 Persons),1 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
134,Tactical,156,Life Jackets,21 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
135,Tactical,155,Lifebuoy,18 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
136,Tactical,140,Search Light,4 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
137,Tactical,360,Hose/Hose Fitting,109 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
138,Tactical,357,Rope,1 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
139,Tactical,356,B.A.Set,6 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
140,Tactical,341,Ceiling Hook,2 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
141,Tactical,338,Door Breaker,1 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
142,Tactical,337,Axe,2 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
143,Tactical,336,Pick Axe,10 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
144,Tactical,334,Helmet,38 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
145,Tactical,332,Crow Bar,15 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
146,Tactical,330,Shovel,8 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
147,Tactical,117,Sledge Hammer,7 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
148,Tactical,115,Jack With 5 Ton Lift,4 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
149,Tactical,107,Chain Saw Diamond,2 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
150,Tactical,103,Bolt Cutters ( Shears ),4 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
154,Tactical,118,Heavy Axe,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
155,Tactical,354,Hand Tool Set,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
159,Tactical,157,Basket Stretcher,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
160,Tactical,341,Ceiling Hook,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
161,Tactical,344,Electric Torch,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
162,Tactical,383,Goggles,10 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
164,Tactical,115,Jack With 5 Ton Lift,2 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
