Sl No,Category,Item Code,Item Name,Quantity,Department,Address,Contact Name,Phone,Latitude,Longitude,District
15,Other,173,"Pump High Pressure, Portable",3 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
16,Tactical,159,Inflatable Boat (12 Persons),3 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
17,Tactical,156,Life Jackets,10 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
18,Tactical,155,Lifebuoy,10 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
19,Tactical,360,Hose/Hose Fitting,43 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
20,Tactical,357,Rope,14 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
21,Tactical,356,B.A.Set,11 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
22,Tactical,341,Ceiling Hook,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
23,Tactical,341,Ceiling Hook,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
24,Tactical,338,Door Breaker,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
25,Tactical,337,Axe,2 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
26,Tactical,334,Helmet,40 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
27,Tactical,332,Crow Bar,17 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
28,Tactical,330,Shovel,11 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
29,Tactical,117,Sledge Hammer,4 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
30,Tactical,115,Jack With 5 Ton Lift,3 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
31,Tactical,107,Chain Saw Diamond,3 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
32,Tactical,103,Bolt Cutters ( Shears ),4 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
33,Tactical,389,Gum Boots,6 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
34,Tactical,369,Hand Gloves,20 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
35,Logistics,362,Motor Cycle,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
36,Logistics,222,Water Tank,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
37,Logistics,205,First Aid Kits,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
38,Other,181,Fire Tender,2 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
39,Other,179,Dcp Type,5 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
40,Other,178,Foam Type,2 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
41,Other,177,Co2 Type,4 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
42,Other,176,Abc Type,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
43,Other,175,Extension Ladder,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
44,Other,365,Air Compressor,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
45,Other,173,"Pump High Pressure, Portable",1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
46,Other,167,Suit Fire Proximity,6 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
47,Tactical,159,Inflatable Boat (12 Persons),1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
48,Tactical,156,Life Jackets,8 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
49,Tactical,155,Lifebuoy,12 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
50,Tactical,360,Hose/Hose Fitting,171 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
51,Tactical,357,Rope,11 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
52,Tactical,356,B.A.Set,5 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
53,Tactical,336,Pick Axe,4 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
54,Tactical,334,Helmet,35 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
55,Tactical,332,Crow Bar,3 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
56,Tactical,330,Shovel,2 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
57,Tactical,117,Sledge Hammer,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
58,Tactical,115,Jack With 5 Ton Lift,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
59,Tactical,107,Chain Saw Diamond,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
60,Tactical,103,Bolt Cutters ( Shears ),15 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
61,Tactical,389,Gum Boots,33 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
62,Tactical,369,Hand Gloves,10 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
63,Logistics,362,Motor Cycle,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
64,Logistics,222,Water Tank,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
65,Logistics,205,First Aid Kits,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
66,Other,181,Fire Tender,3 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
67,Other,177,Co2 Type,2 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
68,Other,175,Extension Ladder,2 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
69,Other,365,Air Compressor,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
70,Other,173,"Pump High Pressure, Portable",3 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
71,Other,167,Suit Fire Proximity,4 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
72,Tactical,159,Inflatable Boat (12 Persons),1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
73,Tactical,156,Life Jackets,6 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
74,Tactical,155,Lifebuoy,6 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
75,Tactical,140,Search Light,2 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
76,Tactical,360,Hose/Hose Fitting,59 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
77,Tactical,357,Rope,7 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
78,Tactical,356,B.A.Set,31 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
79,Tactical,341,Ceiling Hook,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
80,Tactical,338,Door Breaker,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
81,Tactical,337,Axe,7 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
82,Tactical,336,Pick Axe,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
83,Tactical,334,Helmet,33 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
84,Tactical,332,Crow Bar,2 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
85,Tactical,330,Shovel,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
86,Tactical,117,Sledge Hammer,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
87,Tactical,115,Jack With 5 Ton Lift,2 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
88,Tactical,107,Chain Saw Diamond,2 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
89,Tactical,103,Bolt Cutters ( Shears ),6 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
90,Tactical,389,Gum Boots,34 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
91,Tactical,369,Hand Gloves,26 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
92,Logistics,362,Motor Cycle,1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
93,Logistics,222,Water Tank,1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
94,Logistics,221,Water Filter,1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
95,Logistics,221,Water Filter,1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
96,Logistics,205,First Aid Kits,1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
97,Other,181,Fire Tender,2 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
98,Other,179,Dcp Type,4 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
99,Other,178,Foam Type,3 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
100,Other,177,Co2 Type,15 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
101,Other,176,Abc Type,2 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
102,Other,175,Extension Ladder,2 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
