Sl No,Category,Item Code,Item Name,Quantity,Department,Address,Contact Name,Phone,Latitude,Longitude,District
169,Logistics,205,First Aid Kits,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
180,Logistics,201,Stretcher Normal,3 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
193,Logistics,212,Portable Ecg,1 Nos,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
194,Logistics,205,First Aid Kits,1 Nos,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
195,Logistics,208,Oxygen Cylinders,4 Nos,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
196,Logistics,224,Bronchodilators,1 Nos,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
197,Logistics,228,Halogen Tablets,1 Nos,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
198,Logistics,236,Lab Technicians,1 Persons,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
199,Logistics,201,Stretcher Normal,1 Nos,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
200,Logistics,226,Anti Snake Venom,2 Nos,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
201,Logistics,225,Vaccines,01 Vials,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
202,Logistics,226,Anti Snake Venom,1 Unit,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
203,Logistics,222,Water Tank,1 Nos,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
204,Logistics,238,Medical First Responders,4 Persons,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
205,Logistics,235,Paramedics,3 Persons,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
206,Logistics,221,Water Filter,1 Nos,Kumbalagodu  Gollahalli PHC,"Kumbalagodu  Gollahalli PHC, HEALTH AND  FAMILY WELFARE SERVICES,  AROGYA SOUDHA",DR  SHALINI D,9886658777 / 0,12.8498023,77.4494063,Bengaluru
207,Logistics,208,Oxygen Cylinders,1 Nos,Bagaluru Primary  Health Care Centre,"Bagaluru PHC,  HEALTH AND FAMILY  WELFARE SERVICES, AROGYA  SOUDHA",DR  RAJARAM,9986895660 / 0,13.0955714,77.6272478,Bengaluru
208,Logistics,224,Bronchodilators,2 Nos,Bagaluru Primary  Health Care Centre,"Bagaluru PHC,  HEALTH AND FAMILY  WELFARE SERVICES, AROGYA  SOUDHA",DR  RAJARAM,9986895660 / 0,13.0955714,77.6272478,Bengaluru
209,Logistics,235,Paramedics,2 Persons,Bagaluru Primary  Health Care Centre,"Bagaluru PHC,  HEALTH AND FAMILY  WELFARE SERVICES, AROGYA  SOUDHA",DR  RAJARAM,9986895660 / 0,13.0955714,77.6272478,Bengaluru
210,Logistics,222,Water Tank,1 Nos,Bagaluru Primary  Health Care Centre,"Bagaluru PHC,  HEALTH AND FAMILY  WELFARE SERVICES, AROGYA  SOUDHA",DR  RAJARAM,9986895660 / 0,13.0955714,77.6272478,Bengaluru
211,Logistics,205,First Aid Kits,1 Nos,Bagaluru Primary  Health Care Centre,"Bagaluru PHC,  HEALTH AND FAMILY  WELFARE SERVICES, AROGYA  SOUDHA",DR  RAJARAM,9986895660 / 0,13.0955714,77.6272478,Bengaluru
212,Logistics,221,Water Filter,1 Nos,Bagaluru Primary  Health Care Centre,"Bagaluru PHC,  HEALTH AND FAMILY  WELFARE SERVICES, AROGYA  SOUDHA",DR  RAJARAM,9986895660 / 0,13.0955714,77.6272478,Bengaluru
213,Logistics,236,Lab Technicians,1 Persons,Bagaluru Primary  Health Care Centre,"Bagaluru PHC,  HEALTH AND FAMILY  WELFARE SERVICES, AROGYA  SOUDHA",DR  RAJARAM,9986895660 / 0,13.0955714,77.6272478,Bengaluru
214,Logistics,213,Portable Suction Unit,1 Nos,Bagaluru Primary  Health Care Centre,"Bagaluru PHC,  HEALTH AND FAMILY  WELFARE SERVICES, AROGYA  SOUDHA",DR  RAJARAM,9986895660 / 0,13.0955714,77.6272478,Bengaluru
215,Logistics,238,Medical First Responders,4 Persons,Bagaluru Primary  Health Care Centre,"Bagaluru PHC,  HEALTH AND FAMILY  WELFARE SERVICES, AROGYA  SOUDHA",DR  RAJARAM,9986895660 / 0,13.0955714,77.6272478,Bengaluru
216,Logistics,225,Vaccines,110 Nos,Bagaluru Primary  Health Care Centre,"Bagaluru PHC,  HEALTH AND FAMILY  WELFARE SERVICES, AROGYA  SOUDHA",DR  RAJARAM,9986895660 / 0,13.0955714,77.6272478,Bengaluru
217,Logistics,271,Walkie Talkie Sets,2 Nos,ANJANAPUR FIRE  STATION,"Anjanapura,  Tulasipura Road, Bengaluru-560  108.",G  CHANDRASHEKHAR,9591152540 / 08022971609,12.8591519,77.5633249,Bengaluru
218,Logistics,252,Four Wheel Drive Vehicle,1 Nos,ANJANAPUR FIRE  STATION,"Anjanapura,  Tulasipura Road, Bengaluru-560  108.",G  CHANDRASHEKHAR,9591152540 / 08022971609,12.8591519,77.5633249,Bengaluru
225,Logistics,267,Vhf Sets Static,1 Nos,ANJANAPUR FIRE  STATION,"Anjanapura,  Tulasipura Road, Bengaluru-560  108.",G  CHANDRASHEKHAR,9591152540 / 08022971609,12.8591519,77.5633249,Bengaluru
232,Logistics,362,Motor Cycle,2 Nos,ANJANAPUR FIRE  STATION,"Anjanapura,  Tulasipura Road, Bengaluru-560  108.",G  CHANDRASHEKHAR,9591152540 / 08022971609,12.8591519,77.5633249,Bengaluru
245,Logistics,268,Vhf Sets Mobile,2 Nos,ANJANAPUR FIRE  STATION,"Anjanapura,  Tulasipura Road, Bengaluru-560  108.",G  CHANDRASHEKHAR,9591152540 / 08022971609,12.8591519,77.5633249,Bengaluru
277,Logistics,221,Water Filter,1 Nos,ITPL FIRE  STATION,"EPIP FIRE  STATION, whitefield",Mr K  Ramakrishna,9902935026 / 0802841101,12.987366,77.731969,Bengaluru
278,Logistics,222,Water Tank,1 Nos,ITPL FIRE  STATION,"EPIP FIRE  STATION, whitefield",Mr K  Ramakrishna,9902935026 / 0802841101,12.987366,77.731969,Bengaluru
283,Logistics,347,Office Building,1 Unit,ITPL FIRE  STATION,"EPIP FIRE  STATION, whitefield",Mr K  Ramakrishna,9902935026 / 0802841101,12.987366,77.731969,Bengaluru
285,Logistics,278,Gps Hand Sets,2 Nos,ITPL FIRE  STATION,"EPIP FIRE  STATION, whitefield",Mr K  Ramakrishna,9902935026 / 0802841101,12.987366,77.731969,Bengaluru
286,Logistics,271,Walkie Talkie Sets,2 Nos,ITPL FIRE  STATION,"EPIP FIRE  STATION, whitefield",Mr K  Ramakrishna,9902935026 / 0802841101,12.987366,77.731969,Bengaluru
287,Logistics,205,First Aid Kits,1 Nos,ITPL FIRE  STATION,"EPIP FIRE  STATION, whitefield",Mr K  Ramakrishna,9902935026 / 0802841101,12.987366,77.731969,Bengaluru
321,Logistics,347,Office Building,1 Unit,Secretariat Fire  Station,"Karnataka State Fire  And Emergency Services,  Secretariat Fire Station, DR BR  Ambedkar Veedhi Vikasasaudha,  Bangalore-560001",Y H  RANGASWAMY,9489101554 / 08022971602,12.9800218,77.5927429,Bengaluru
322,Logistics,278,Gps Hand Sets,4 Nos,Secretariat Fire  Station,"Karnataka State Fire  And Emergency Services,  Secretariat Fire Station, DR BR  Ambedkar Veedhi Vikasasaudha,  Bangalore-560001",Y H  RANGASWAMY,9489101554 / 08022971602,12.9800218,77.5927429,Bengaluru
323,Logistics,271,Walkie Talkie Sets,02 Nos,Secretariat Fire  Station,"Karnataka State Fire  And Emergency Services,  Secretariat Fire Station, DR BR  Ambedkar Veedhi Vikasasaudha,  Bangalore-560001",Y H  RANGASWAMY,9489101554 / 08022971602,12.9800218,77.5927429,Bengaluru
324,Logistics,362,Motor Cycle,1 Nos,Secretariat Fire  Station,"Karnataka State Fire  And Emergency Services,  Secretariat Fire Station, DR BR  Ambedkar Veedhi Vikasasaudha,  Bangalore-560001",Y H  RANGASWAMY,9489101554 / 08022971602,12.9800218,77.5927429,Bengaluru
325,Logistics,252,Four Wheel Drive Vehicle,1 Nos,Secretariat Fire  Station,"Karnataka State Fire  And Emergency Services,  Secretariat Fire Station, DR BR  Ambedkar Veedhi Vikasasaudha,  Bangalore-560001",Y H  RANGASWAMY,9489101554 / 08022971602,12.9800218,77.5927429,Bengaluru
326,Logistics,205,First Aid Kits,1 Nos,Secretariat Fire  Station,"Karnataka State Fire  And Emergency Services,  Secretariat Fire Station, DR BR  Ambedkar Veedhi Vikasasaudha,  Bangalore-560001",Y H  RANGASWAMY,9489101554 / 08022971602,12.9800218,77.5927429,Bengaluru
353,Logistics,256,Mini Bus,1 Nos,Fire and Emergency  Services,"Director, #1,  Annaswamy Mudaliar Road, Ulsoor,  Bengaluru 560042",Deputy  Director-Techincal,080-229715 / 080-22971573,12.984572244882,77.618125752705,Bengaluru
365,Logistics,257,Bus,1 Nos,Fire and Emergency  Services,"Director, #1,  Annaswamy Mudaliar Road, Ulsoor,  Bengaluru 560042",Deputy  Director-Techincal,080-229715 / 080-22971573,12.984572244882,77.618125752705,Bengaluru
380,Logistics,202,Stretcher Medical Evacuation,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (MAHADEVAPURA),Mahadevapura FIRE  STATION,Mr. H M  Siddegouda,9528206688 / 0,12.9984889,77.7018882,Bengaluru
382,Logistics,205,First Aid Kits,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (MAHADEVAPURA),Mahadevapura FIRE  STATION,Mr. H M  Siddegouda,9528206688 / 0,12.9984889,77.7018882,Bengaluru
383,Logistics,221,Water Filter,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (MAHADEVAPURA),Mahadevapura FIRE  STATION,Mr. H M  Siddegouda,9528206688 / 0,12.9984889,77.7018882,Bengaluru
388,Logistics,271,Walkie Talkie Sets,8 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (MAHADEVAPURA),Mahadevapura FIRE  STATION,Mr. H M  Siddegouda,9528206688 / 0,12.9984889,77.7018882,Bengaluru
394,Logistics,222,Water Tank,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (MAHADEVAPURA),Mahadevapura FIRE  STATION,Mr. H M  Siddegouda,9528206688 / 0,12.9984889,77.7018882,Bengaluru
396,Logistics,265,Water Tanker Medium Capacity,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (MAHADEVAPURA),Mahadevapura FIRE  STATION,Mr. H M  Siddegouda,9528206688 / 0,12.9984889,77.7018882,Bengaluru
397,Logistics,362,Motor Cycle,2 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (MAHADEVAPURA),Mahadevapura FIRE  STATION,Mr. H M  Siddegouda,9528206688 / 0,12.9984889,77.7018882,Bengaluru
432,Logistics,278,Gps Hand Sets,2 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (MAHADEVAPURA),Mahadevapura FIRE  STATION,Mr. H M  Siddegouda,9528206688 / 0,12.9984889,77.7018882,Bengaluru
433,Logistics,252,Four Wheel Drive Vehicle,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (MAHADEVAPURA),Mahadevapura FIRE  STATION,Mr. H M  Siddegouda,9528206688 / 0,12.9984889,77.7018882,Bengaluru
434,Logistics,347,Office Building,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (MAHADEVAPURA),Mahadevapura FIRE  STATION,Mr. H M  Siddegouda,9528206688 / 0,12.9984889,77.7018882,Bengaluru
450,Logistics,271,Walkie Talkie Sets,3 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION),"KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION). Residency Road, Near  Ashok Nagar Police Station",G.  Krishnaswamy,7259571910 / 08022971535,12.965248698818,77.596963810547,Bengaluru
451,Logistics,268,Vhf Sets Mobile,2 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION),"KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION). Residency Road, Near  Ashok Nagar Police Station",G.  Krishnaswamy,7259571910 / 08022971535,12.965248698818,77.596963810547,Bengaluru
452,Logistics,267,Vhf Sets Static,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION),"KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION). Residency Road, Near  Ashok Nagar Police Station",G.  Krishnaswamy,7259571910 / 08022971535,12.965248698818,77.596963810547,Bengaluru
453,Logistics,266,Water Tanker Large Capacity,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION),"KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION). Residency Road, Near  Ashok Nagar Police Station",G.  Krishnaswamy,7259571910 / 08022971535,12.965248698818,77.596963810547,Bengaluru
454,Logistics,362,Motor Cycle,2 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION),"KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION). Residency Road, Near  Ashok Nagar Police Station",G.  Krishnaswamy,7259571910 / 08022971535,12.965248698818,77.596963810547,Bengaluru
455,Logistics,252,Four Wheel Drive Vehicle,3 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION),"KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION). Residency Road, Near  Ashok Nagar Police Station",G.  Krishnaswamy,7259571910 / 08022971535,12.965248698818,77.596963810547,Bengaluru
456,Logistics,347,Office Building,3 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION),"KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION). Residency Road, Near  Ashok Nagar Police Station",G.  Krishnaswamy,7259571910 / 08022971535,12.965248698818,77.596963810547,Bengaluru
457,Logistics,222,Water Tank,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION),"KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION). Residency Road, Near  Ashok Nagar Police Station",G.  Krishnaswamy,7259571910 / 08022971535,12.965248698818,77.596963810547,Bengaluru
458,Logistics,201,Stretcher Normal,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION),"KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION). Residency Road, Near  Ashok Nagar Police Station",G.  Krishnaswamy,7259571910 / 08022971535,12.965248698818,77.596963810547,Bengaluru
499,Logistics,205,First Aid Kits,2 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION),"KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES (SOUTH FIRE  STATION). Residency Road, Near  Ashok Nagar Police Station",G.  Krishnaswamy,7259571910 / 08022971535,12.965248698818,77.596963810547,Bengaluru
518,Logistics,205,First Aid Kits,58 Nos,Volvo Group India  Pvt Ltd,"Yalachahally,  Tavarekere Post, Hosakote  Bangalore-562122",Rajeev  Joglekar,9845976681 / 08066914000,13.132881,77.929621,Bengaluru
523,Logistics,200,Spine Boards,1 Nos,Volvo Group India  Pvt Ltd,"Yalachahally,  Tavarekere Post, Hosakote  Bangalore-562122",Rajeev  Joglekar,9845976681 / 08066914000,13.132881,77.929621,Bengaluru
524,Logistics,213,Portable Suction Unit,1 Nos,Volvo Group India  Pvt Ltd,"Yalachahally,  Tavarekere Post, Hosakote  Bangalore-562122",Rajeev  Joglekar,9845976681 / 08066914000,13.132881,77.929621,Bengaluru
528,Logistics,229,General Physician,1 Persons,Volvo Group India  Pvt Ltd,"Yalachahally,  Tavarekere Post, Hosakote  Bangalore-562122",Rajeev  Joglekar,9845976681 / 08066914000,13.132881,77.929621,Bengaluru
535,Logistics,220,Mobile Medical Van,1 Nos,Volvo Group India  Pvt Ltd,"Yalachahally,  Tavarekere Post, Hosakote  Bangalore-562122",Rajeev  Joglekar,9845976681 / 08066914000,13.132881,77.929621,Bengaluru
536,Logistics,238,Medical First Responders,30 Persons,Volvo Group India  Pvt Ltd,"Yalachahally,  Tavarekere Post, Hosakote  Bangalore-562122",Rajeev  Joglekar,9845976681 / 08066914000,13.132881,77.929621,Bengaluru
540,Logistics,212,Portable Ecg,2 Nos,Yelahanka Taluk  Hospital,"Yelahanka Taluk  Hospital, BEHIND ANAJNEYA  TEMPLE, GANDHINAGAR,  GENERAL HOSPITAL  YELAHANKA, YELAHANKA  OLD TOWN, BANGALORE-  560064",INDUMATHI M,7026628785 / 0,13.098262,77.584382,Bengaluru
541,Logistics,232,Anesthetist,1 Persons,Yelahanka Taluk  Hospital,"Yelahanka Taluk  Hospital, BEHIND ANAJNEYA  TEMPLE, GANDHINAGAR,  GENERAL HOSPITAL  YELAHANKA, YELAHANKA  OLD TOWN, BANGALORE-  560064",INDUMATHI M,7026628785 / 0,13.098262,77.584382,Bengaluru
542,Logistics,202,Stretcher Medical Evacuation,2 Nos,Yelahanka Taluk  Hospital,"Yelahanka Taluk  Hospital, BEHIND ANAJNEYA  TEMPLE, GANDHINAGAR,  GENERAL HOSPITAL  YELAHANKA, YELAHANKA  OLD TOWN, BANGALORE-  560064",INDUMATHI M,7026628785 / 0,13.098262,77.584382,Bengaluru
543,Logistics,210,Portable Xrays,2 Nos,Yelahanka Taluk  Hospital,"Yelahanka Taluk  Hospital, BEHIND ANAJNEYA  TEMPLE, GANDHINAGAR,  GENERAL HOSPITAL  YELAHANKA, YELAHANKA  OLD TOWN, BANGALORE-  560064",INDUMATHI M,7026628785 / 0,13.098262,77.584382,Bengaluru
544,Logistics,222,Water Tank,2 Nos,Yelahanka Taluk  Hospital,"Yelahanka Taluk  Hospital, BEHIND ANAJNEYA  TEMPLE, GANDHINAGAR,  GENERAL HOSPITAL  YELAHANKA, YELAHANKA  OLD TOWN, BANGALORE-  560064",INDUMATHI M,7026628785 / 0,13.098262,77.584382,Bengaluru
